frame,t_s,x_px,y_px,vx_px_s,vy_px_s,speed_px_s
457,15.233,701.22,433.37,-42.14,22.552,47.795
458,15.267,699.82,433.86,-44.315,19.575,48.446
459,15.3,699.78,431.7,-47.06,17.293,50.137
460,15.333,698.38,433.05,-49.779,15.135,52.029
461,15.367,697.06,428.69,-52.214,15.463,54.456
462,15.4,694.68,430.8,-54.965,17.233,57.603
463,15.433,692.87,431.53,-56.827,20.239,60.323
464,15.467,691.4,433.29,-58.834,24.245,63.633
465,15.5,688.19,433.45,-60.45,30.108,67.533
466,15.533,684.43,433.81,-61.12,35.732,70.798
467,15.567,683.11,436.66,-62.143,42.199,75.117
468,15.6,681.19,438.57,-63.55,49.099,80.308
469,15.633,680.14,440.52,-64.26,55.436,84.868
470,15.667,678.9,441.1,-64.933,60.72,88.9
471,15.7,674.65,444.18,-66.275,65.597,93.249
472,15.733,671.11,448.23,-67.108,68.525,95.913
473,15.767,669.65,448.84,-68.637,69.287,97.528
474,15.8,668.46,451.51,-70.252,67.45,97.39
475,15.833,665.97,454.69,-71.999,64.067,96.377
476,15.867,664.08,457.17,-75.527,59.397,96.085
477,15.9,663.06,458.2,-79.287,56.114,97.135
478,15.933,659.21,460.61,-82.9,51.734,97.718
479,15.967,657.42,462.44,-87.504,47.18,99.412
480,16.0,654.97,462.28,-93.985,43.165,103.423
481,16.033,649.95,464.48,-100.264,40.32,108.068
482,16.067,646.69,466.62,-103.509,38.477,110.429
483,16.1,644.19,466.85,-104.973,36.768,111.226
484,16.133,639.07,468.8,-104.899,35.648,110.791
485,16.167,634.91,469.39,-103.893,35.033,109.641
486,16.2,632.49,469.22,-102.937,36.046,109.066
487,16.233,628.76,469.15,-99.045,36.572,105.581
488,16.267,625.89,469.62,-92.414,36.195,99.249
489,16.3,622.63,471.37,-84.148,36.172,91.593
490,16.333,617.3,474.99,-74.835,36.085,83.081
491,16.367,616.64,475.51,-63.645,35.485,72.869
492,16.4,613.06,477.32,-52.572,34.758,63.024
493,16.433,609.63,479.68,-43.452,34.496,55.481
494,16.467,608.71,482.14,-34.086,33.215,47.593
495,16.5,610.96,482.24,-26.985,31.615,41.566
496,16.533,612.87,482.47,-21.991,30.089,37.269
497,16.567,610.93,483.54,-19.057,28.141,33.987
498,16.6,609.25,484.17,-18.767,25.164,31.391
499,16.633,608.49,484.4,-21.003,22.199,30.561
500,16.667,607.96,484.57,-21.942,17.717,28.202
501,16.7,609.69,483.73,-28.202,13.071,31.084
502,16.733,608.53,484.93,-38.058,9.276,39.172
503,16.767,607.24,485.54,-50.121,6.763,50.575
504,16.8,605.52,487.04,-62.946,5.656,63.2
505,16.833,603.19,487.79,-75.774,5.722,75.99
506,16.867,598.27,488.47,-87.534,5.66,87.717
507,16.9,594.89,488.22,-100.571,7.408,100.843
508,16.933,592.88,487.56,-113.33,10.546,113.819
509,16.967,587.46,488.36,-124.428,14.136,125.228
510,17.0,583.6,487.77,-132.569,17.485,133.717
511,17.033,578.24,488.51,-140.883,21.306,142.485
512,17.067,574.68,488.12,-150.559,25.928,152.776
