scorer,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210,DLC_Resnet50_rat_behavior_tmazeApr1shuffle1_snapshot_best-210
bodyparts,nose,nose,nose,head,head,head,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,body_center,body_center,body_center,left_forepaw,left_forepaw,left_forepaw,right_forepaw,right_forepaw,right_forepaw,left_hindpaw,left_hindpaw,left_hindpaw,right_hindpaw,right_hindpaw,right_hindpaw,tail_base,tail_base,tail_base
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
29,561.1806329,326.6423557,0.9662807,564.4248188,333.0047541,0.8871887,557.7881936,336.6653877,0.9103932,571.5434098,334.1673636,0.8632157,573.3440502,372.8689166,1.0000000,551.2961832,351.2870549,0.8478349,577.5002701,344.3527935,0.8376281,561.7094878,394.9209019,0.8452879,600.0907468,375.5184377,0.7648114,597.8353797,417.5046119,0.9663679
30,563.5626600,327.4141816,0.9832932,565.4722078,332.8189440,0.8903824,559.2734373,335.3775839,0.8888040,572.0588594,333.8810679,0.8439880,573.9339367,372.3397089,0.9999303,551.9858451,350.2425199,0.8141069,577.5279430,343.8420709,0.8028711,562.4823451,395.1537170,0.8615282,600.5036820,375.4251774,0.7764293,597.1772810,417.8839667,0.9595268
31,566.3276265,327.2849703,0.9948681,566.6545561,333.4395076,0.8621553,560.2708446,334.9363274,0.8520500,573.1400497,335.1172992,0.7679500,574.1337476,371.8907200,0.9981821,552.0629239,349.4411237,0.7535654,577.2126048,344.9301635,0.7455348,562.3374392,393.8292925,0.8664843,600.1131585,373.6210681,0.7624168,595.1298212,416.9432229,0.9272337
32,570.3462213,326.5086151,0.9876073,568.9800581,333.6691368,0.9003487,562.1831976,334.0831613,0.9040952,575.2245168,335.6635050,0.7641922,574.4045867,371.5628252,0.9898371,553.3618823,349.1918748,0.7877964,579.2054759,346.0061597,0.7702423,561.9410887,392.1207194,0.8609200,599.8198464,372.8785222,0.7543419,593.2759424,416.8409318,0.8879730
33,574.8882984,327.4740769,0.9164899,571.9875221,333.4216745,0.9338607,565.0890992,333.0716629,0.9456449,577.4430787,335.2946944,0.8139467,574.5863597,371.3686635,0.9969697,555.4106218,348.2676389,0.8362232,582.4275575,345.7698804,0.7838052,558.8274023,388.0039856,0.8608996,599.0810051,374.1155288,0.7635248,592.1601629,417.1896174,0.8236025
34,579.9201481,328.9913166,0.8348033,576.8693957,334.2807957,0.9246751,569.6682115,333.1182597,0.9473387,582.0814294,336.7459251,0.8504127,575.0996467,371.4624955,0.9998700,561.5500725,347.1737178,0.8320824,585.9703095,347.3296334,0.8029993,558.9196564,385.7586183,0.8528895,600.5258120,376.1495918,0.7740451,591.3179404,417.5582555,0.8401788
35,583.8760417,329.9373660,0.8351551,580.6952378,335.5539324,0.9049652,573.8009081,333.4236790,0.9531765,586.0546464,338.2294965,0.8519542,575.3850321,371.3460829,1.0000000,565.8498245,346.6030692,0.7761248,589.1206298,349.9885274,0.7902292,560.6955129,386.8729000,0.8303159,601.8714274,377.4963105,0.7420578,590.7213603,416.8674180,0.8575681
36,584.2385970,332.0641377,0.8214312,582.0468245,338.3705320,0.8996258,575.1057417,335.3724023,0.8933122,588.2058079,340.9271451,0.8705519,575.6730774,371.2539579,1.0000000,565.1365563,348.0984653,0.7019016,591.8942212,352.7007492,0.7446368,561.3113746,387.3155900,0.8010254,601.7877742,377.6619601,0.6703409,589.1405914,416.3754251,0.8295882
37,586.1907696,334.3370693,0.7937455,583.9922715,340.6582524,0.9136027,577.0087088,337.7768739,0.8821019,590.2233349,343.2282577,0.9123709,576.1043325,371.2232400,1.0000000,567.1758981,348.5068354,0.6848893,594.1466234,355.9799324,0.7976908,560.5317743,384.9848813,0.7301672,599.7229605,379.6963646,0.6421407,586.8448051,419.1918519,0.7006631
38,592.1749393,336.2314311,0.8273693,587.3463663,341.7691932,0.9506002,580.9162222,338.8466262,0.9086608,592.8399535,345.4260951,0.9468101,576.5764169,371.2644994,1.0000000,572.2640151,347.3062438,0.7358897,595.3831234,356.6955028,0.8943898,557.6111436,375.5017377,0.7195021,598.0936812,380.4509573,0.8951646,583.3867364,419.8374927,0.6904148
39,597.6670104,337.7382021,0.9173473,590.7428113,342.5068386,0.9847841,584.2616161,338.4362348,0.9583477,594.9874503,348.1235371,0.9805103,577.2370875,371.3447380,1.0000000,576.2872752,346.3570556,0.7354171,595.7243047,357.6761950,0.9319496,556.8565345,372.4918400,0.7204937,597.5893996,383.1527117,0.9800983,580.7507111,419.0123075,0.8157851
40,601.8634794,338.7195313,0.9512329,593.7671348,343.3325754,0.9978420,587.6905006,338.3544951,0.9846815,597.2332863,349.7669689,0.9614774,577.9743190,371.3038813,1.0000000,579.2252902,345.6062328,0.7438844,597.1883711,359.3573583,0.9411862,558.6661711,376.5318438,0.6954615,597.9689694,384.3586676,0.9557892,579.9959220,418.2472590,0.8426825
41,605.0438949,338.9655677,0.9772904,597.0946846,343.6104193,0.9990823,591.1857006,338.5749730,0.9478765,600.6510378,350.1424926,0.9225695,578.5588271,371.2947303,1.0000000,581.3658340,345.0079606,0.7664596,600.0647566,360.4224960,0.8966726,560.7386180,375.8643933,0.6718147,598.9505905,384.1700279,0.9540298,580.5565166,417.1773033,0.8332088
42,606.1204425,339.4790443,0.9951377,599.1763608,344.7336308,0.9955194,593.3299928,339.6449169,0.8630628,602.9189264,350.9639021,0.8749125,579.2425873,371.3364031,1.0000000,583.0744679,345.2032432,0.7985354,601.9246790,361.1758068,0.8313848,561.3593819,370.7547432,0.6881611,599.1361536,384.5520358,0.9244562,580.3757012,417.9036135,0.7475844
43,607.6631099,340.0826697,0.9914509,600.9173669,346.0054415,0.9881020,595.1369807,340.5041744,0.8437513,605.1073594,352.1871173,0.8509682,580.3413087,371.3043637,1.0000000,584.8608180,344.7740764,0.8397124,603.2653737,362.0652427,0.8210314,562.1489849,369.4932954,0.7267274,600.0819375,384.9264600,0.9155259,580.5408113,419.0649606,0.6811412
44,608.8838872,341.5945595,0.9567078,601.7536591,347.1234133,0.9625904,596.0137696,341.3375896,0.8634840,605.0178030,353.6069230,0.8470653,580.3239295,371.3891576,1.0000000,585.7990945,344.4751278,0.8668708,603.2996354,363.5046000,0.8102259,561.7688000,371.8462084,0.7694108,599.6459050,386.2118094,0.8939622,579.4005251,421.6691128,0.5888439
