scorer,MATLAB_TMaze_v1,MATLAB_TMaze_v1,MATLAB_TMaze_v1
bodyparts,body_center,body_center,body_center
coords,x,y,likelihood
198,576.448823,650.261631,1.000000
199,576.085433,649.943593,1.000000
200,575.070076,649.445606,1.000000
201,574.183679,649.544842,1.000000
202,573.003711,646.553240,1.000000
203,571.820109,643.054620,1.000000
204,572.123225,643.260363,1.000000
205,572.688832,643.893436,1.000000
206,572.488702,643.848494,1.000000
207,572.405389,642.443293,1.000000
208,571.595183,641.394951,1.000000
209,571.653317,640.300658,1.000000
210,571.658251,641.344828,1.000000
211,570.591170,635.674327,1.000000
212,570.029242,634.211392,1.000000
213,570.582921,634.722772,1.000000
214,571.066566,634.820575,1.000000
215,571.439964,635.868405,1.000000
216,571.935465,637.584369,1.000000
217,571.914512,638.851645,1.000000
218,570.997729,635.212319,1.000000
219,565.362509,635.505366,1.000000
220,565.319213,638.065305,1.000000
221,564.750485,637.335839,1.000000
222,564.688927,637.558802,1.000000
223,564.933507,634.449062,1.000000
224,566.345527,635.443238,1.000000
225,567.177430,634.598713,1.000000
226,568.269122,634.161192,1.000000
227,568.143936,631.872057,1.000000
228,568.151055,631.303924,1.000000
229,568.603757,631.980086,1.000000
230,568.719531,629.647621,1.000000
231,569.169108,631.499542,1.000000
232,569.576872,631.241249,1.000000
233,570.424109,630.582050,1.000000
234,571.893373,629.321945,1.000000
235,571.922989,630.163591,1.000000
236,572.702885,629.683048,1.000000
237,572.664696,629.468244,1.000000
238,572.900513,630.270004,1.000000
239,573.843895,632.098918,1.000000
240,574.302118,632.163211,1.000000
241,574.929425,630.296280,1.000000
242,578.621851,627.318314,1.000000
243,578.307692,627.264119,1.000000
244,577.425552,625.218647,1.000000
245,578.027370,627.013934,1.000000
246,573.549704,626.010716,1.000000
247,574.370448,627.294595,1.000000
248,575.569234,626.838013,1.000000
249,571.251351,630.384266,1.000000
250,571.161394,629.971569,1.000000
251,573.501712,626.900251,1.000000
252,573.472807,627.836380,1.000000
253,573.768951,629.751195,1.000000
254,573.922920,629.968941,1.000000
255,574.862718,629.041347,1.000000
256,575.097022,629.035365,1.000000
257,574.595310,630.663571,1.000000
258,573.824950,630.368269,1.000000
259,575.067498,632.401929,1.000000
260,575.624823,632.178386,1.000000
261,575.555662,632.286770,1.000000
262,576.024085,632.427987,1.000000
263,573.817238,633.789711,1.000000
264,576.567426,632.086895,1.000000
265,574.981214,633.534021,1.000000
266,576.456895,631.572704,1.000000
267,576.597618,631.172583,1.000000
268,574.396698,633.648594,1.000000
269,573.505071,633.853836,1.000000
270,573.956125,633.349443,1.000000
271,573.992063,632.745150,1.000000
272,574.111502,632.703981,1.000000
273,578.340362,631.211858,1.000000
274,574.848916,632.049458,1.000000
275,574.099166,632.112689,1.000000
276,576.044381,632.436650,1.000000
277,575.990238,632.743810,1.000000
278,574.011576,633.588602,1.000000
279,573.802994,633.049685,1.000000
280,571.982099,633.847737,1.000000
281,572.070678,634.057902,1.000000
282,576.268744,631.362699,1.000000
283,576.061426,631.000000,1.000000
284,571.443505,632.810928,1.000000
285,571.528314,632.506565,1.000000
286,573.189391,629.223264,1.000000
287,573.299573,628.599145,1.000000
288,575.718709,627.381203,1.000000
289,573.997167,626.366525,1.000000
290,575.893275,624.548156,1.000000
291,577.807057,622.175074,1.000000
292,578.150233,620.466652,1.000000
293,579.143451,617.457842,1.000000
294,580.589520,614.064353,1.000000
295,581.259874,611.412713,1.000000
296,575.104445,604.684107,1.000000
297,573.952272,600.891995,1.000000
298,581.007983,604.100963,1.000000
299,581.101118,600.166310,1.000000
300,579.818720,597.792891,1.000000
301,579.508129,593.872361,1.000000
302,577.817638,592.652775,1.000000
303,577.395828,588.771737,1.000000
304,576.846898,584.765039,1.000000
305,575.990611,582.516373,1.000000
306,575.241954,580.712166,1.000000
307,573.755848,579.168749,1.000000
308,572.899695,576.136396,1.000000
309,573.016342,572.102860,1.000000
310,574.403035,568.591513,1.000000
311,575.851753,564.913422,1.000000
312,577.750739,561.888670,1.000000
313,579.708449,559.119042,1.000000
314,580.743532,557.252449,1.000000
315,581.248312,555.482371,1.000000
316,581.684556,554.431520,1.000000
317,581.409661,555.206962,1.000000
318,582.413158,551.602392,1.000000
319,582.869608,549.299729,1.000000
320,582.662430,547.182107,1.000000
321,582.673394,545.028304,1.000000
322,581.801024,541.929773,1.000000
323,580.869045,540.215226,1.000000
324,580.084375,536.578365,1.000000
325,579.122820,532.021266,1.000000
326,578.201496,526.088320,1.000000
327,577.393030,522.948451,1.000000
328,576.605637,521.101421,1.000000
329,576.167849,519.170449,1.000000
330,575.357862,516.367450,1.000000
331,575.077013,515.705758,1.000000
332,574.634293,513.571223,1.000000
333,574.449798,509.613774,1.000000
334,574.776999,508.397715,1.000000
335,575.464847,509.005923,1.000000
336,576.643572,507.049526,1.000000
337,577.430366,506.737696,1.000000
338,577.789460,505.811526,1.000000
339,577.971676,502.917388,1.000000
340,577.934592,501.402275,1.000000
341,577.925713,499.856657,1.000000
342,577.843404,499.161224,1.000000
343,578.238918,497.196907,1.000000
344,578.568468,495.051679,1.000000
345,578.970490,494.124968,1.000000
346,579.229839,492.142641,1.000000
347,579.203524,491.291879,1.000000
348,578.789715,488.956212,1.000000
349,577.769055,486.969004,1.000000
350,576.972215,485.732184,1.000000
351,575.869075,483.694338,1.000000
352,574.815467,480.944615,1.000000
353,574.569817,478.986463,1.000000
354,574.186630,478.388419,1.000000
355,574.189317,477.945876,1.000000
356,572.880754,463.217227,1.000000
357,572.390531,461.726131,1.000000
358,572.481805,476.648010,1.000000
359,572.406119,476.003143,1.000000
360,572.558749,476.133235,1.000000
361,570.557212,472.723811,1.000000
362,570.076558,467.279707,1.000000
363,570.025954,466.645583,1.000000
364,569.667839,454.083668,1.000000
365,570.270043,466.407328,1.000000
366,571.962882,471.703712,1.000000
367,572.438294,470.487976,1.000000
368,572.541949,469.684484,1.000000
369,572.769966,469.415017,1.000000
370,572.818097,468.105016,1.000000
371,572.379759,469.041318,1.000000
372,572.583023,469.052791,1.000000
373,572.764155,469.209640,1.000000
374,572.880254,468.403146,1.000000
375,572.893602,469.205062,1.000000
376,572.861546,472.034088,1.000000
377,572.436069,470.317225,1.000000
378,572.648617,469.759728,1.000000
379,572.526700,469.690426,1.000000
380,572.565730,468.431909,1.000000
381,572.428571,467.485202,1.000000
382,572.212840,466.226332,1.000000
383,572.196019,465.276325,1.000000
384,572.438042,464.812602,1.000000
385,572.768589,463.647998,1.000000
386,572.730660,465.885849,1.000000
387,572.856278,466.044957,1.000000
388,572.912789,467.150573,1.000000
389,572.886555,467.230626,1.000000
390,573.085795,466.723706,1.000000
391,572.569859,471.313747,1.000000
392,572.778426,471.370262,1.000000
393,573.272519,470.690351,1.000000
394,566.016761,464.911824,1.000000
395,568.479580,468.384417,1.000000
396,568.230948,470.708897,1.000000
397,566.412366,469.863699,1.000000
398,567.240646,468.185139,1.000000
399,567.705861,467.416889,1.000000
400,567.871037,467.273067,1.000000
401,570.090462,470.223316,1.000000
402,568.188879,466.950927,1.000000
403,568.098502,466.119511,1.000000
404,568.073129,465.061573,1.000000
405,568.094240,463.788973,1.000000
406,575.538616,469.090848,1.000000
407,575.302949,469.649240,1.000000
408,575.049787,469.928908,1.000000
409,574.738409,470.820227,1.000000
410,574.567034,471.692608,1.000000
411,567.249501,468.860642,1.000000
412,567.274805,468.923454,1.000000
413,567.728236,468.905403,1.000000
414,567.480643,471.763148,1.000000
415,567.376488,471.509737,1.000000
416,568.350009,472.523154,1.000000
417,568.153673,473.357946,1.000000
418,575.250775,474.594041,1.000000
419,575.710618,475.222170,1.000000
420,575.847494,475.482100,1.000000
421,575.894877,476.336636,1.000000
422,567.998697,471.627327,1.000000
423,575.615509,479.726056,1.000000
424,575.614422,479.131463,1.000000
425,570.576220,478.571199,1.000000
426,575.083728,479.735809,1.000000
427,575.565080,478.189412,1.000000
428,575.280667,479.085132,1.000000
429,575.502928,479.455100,1.000000
430,575.229504,479.942188,1.000000
431,575.498399,479.426706,1.000000
432,575.253224,479.589534,1.000000
433,575.233490,479.797922,1.000000
434,575.358331,478.777999,1.000000
435,575.156344,480.231518,1.000000
436,574.874018,480.081287,1.000000
437,574.826408,481.160069,1.000000
438,574.782823,480.702122,1.000000
439,574.956564,479.706198,1.000000
440,574.634875,481.435453,1.000000
441,574.866633,478.827526,1.000000
442,574.852788,479.814374,1.000000
443,574.618402,481.081154,1.000000
444,574.637803,481.360960,1.000000
445,574.718524,480.720768,1.000000
446,574.199658,483.106794,1.000000
447,574.764056,480.347892,1.000000
448,574.584281,479.621178,1.000000
449,574.204296,482.758848,1.000000
450,574.186017,483.177778,1.000000
451,568.405610,481.759828,1.000000
452,568.445929,482.078947,1.000000
453,568.286914,481.603113,1.000000
454,574.016800,483.175527,1.000000
455,573.988494,483.481491,1.000000
456,574.474214,481.471635,1.000000
457,573.978845,484.055998,1.000000
458,574.323253,483.212706,1.000000
459,574.199385,482.295233,1.000000
460,574.434116,482.089888,1.000000
461,574.466342,482.234195,1.000000
462,573.885409,485.076560,1.000000
463,574.295368,482.196912,1.000000
464,574.245943,481.783469,1.000000
465,574.284263,481.796248,1.000000
466,574.157814,482.839377,1.000000
467,574.176823,482.805990,1.000000
468,574.640076,483.210999,1.000000
469,574.178782,482.031852,1.000000
470,574.142319,482.031376,1.000000
471,574.706879,480.565708,1.000000
472,574.529146,480.566332,1.000000
473,574.156419,482.128382,1.000000
474,574.420406,480.635748,1.000000
475,573.817231,479.746763,1.000000
476,573.629834,480.214716,1.000000
477,573.646487,482.097658,1.000000
478,573.875451,481.385766,1.000000
479,573.895361,481.153351,1.000000
480,573.704841,482.154607,1.000000
481,573.731166,481.435633,1.000000
482,573.787172,482.782931,1.000000
483,573.950241,484.125468,1.000000
484,573.881636,484.359967,1.000000
485,573.666936,485.784425,1.000000
486,573.573897,485.472887,1.000000
487,573.377501,488.539361,1.000000
488,574.183852,486.511457,1.000000
489,573.847728,485.571884,1.000000
490,573.981291,487.230830,1.000000
491,573.847149,487.506864,1.000000
492,573.842842,486.958506,1.000000
493,573.451235,489.351159,1.000000
494,573.204020,489.338442,1.000000
495,573.322793,489.751834,1.000000
496,573.622955,490.348415,1.000000
497,573.451515,489.670202,1.000000
498,573.786801,488.618716,1.000000
499,573.325201,488.266286,1.000000
500,566.026501,480.327244,1.000000
501,573.196598,487.452476,1.000000
502,573.477464,483.726763,1.000000
503,573.430344,484.268237,1.000000
504,569.495785,475.882661,1.000000
505,569.070172,477.451445,1.000000
506,565.602189,476.663710,1.000000
507,572.972222,480.382367,1.000000
508,572.852609,480.662178,1.000000
509,573.142753,480.980966,1.000000
510,573.388273,481.335058,1.000000
511,570.587725,477.469424,1.000000
512,570.590616,477.764287,1.000000
513,570.998368,476.351131,1.000000
514,571.058224,479.266425,1.000000
515,571.333864,480.118409,1.000000
516,573.512729,481.599334,1.000000
517,567.588271,476.143352,1.000000
518,567.530769,478.539448,1.000000
519,571.669587,478.473369,1.000000
